cpu_name,passmark_score,passmark_rank,passmark_value
AArch64,833,3937,
AArch64 rev 2 (aarch64),2383,2747,
AArch64 rev 4 (aarch64),1813,3102,
AC8257V/WAB,788,3985,
AC8259V/WAB,990,3774,
Allwinner A133,673,4132,
Allwinner A523,1902,3042,
Allwinner A527,2297,2798,
Allwinner H618,617,4195,
AMD 3015Ce,2099,2915,
AMD 3015e,2712,2570,
AMD 3020e,2438,2712,
AMD 4700S,17851,740,
AMD A10 Micro-6700T APU,1426,3366,
AMD A10 PRO-7350B APU,1915,3027,
AMD A10 PRO-7800B APU,3319,2313,
AMD A10 PRO-7850B APU,3453,2248,23.33
AMD A10-4600M APU,1938,3014,26.91
AMD A10-4655M APU,1658,3197,
AMD A10-4657M APU,1759,3145,
AMD A10-5700 APU,2741,2558,40.29
AMD A10-5745M APU,1779,3131,
AMD A10-5750M APU,2044,2950,26.2
AMD A10-5757M APU,1998,2978,
AMD A10-5800B APU,3034,2432,67.43
AMD A10-5800K APU,2960,2467,141.91
AMD A10-6700 APU,3104,2403,28.73
AMD A10-6700T APU,2299,2796,26.12
AMD A10-6790K APU,3071,2416,73.12
AMD A10-6800B APU,3106,2400,24.26
AMD A10-6800K APU,3189,2369,67.45
AMD A10-7300 APU,1742,3149,
AMD A10-7400P,2078,2930,
AMD A10-7700K APU,3203,2365,25.02
AMD A10-7800 APU,3210,2363,107.03
AMD A10-7850K APU,3395,2275,48.5
AMD A10-7860K,3283,2330,61.73
AMD A10-7870K,3442,2252,6.65
AMD A10-7890K,3525,2229,25.88
AMD A10-8700P,2245,2831,
AMD A10-8750,3228,2351,
AMD A10-8850,3438,2254,
AMD A10-9600P,2339,2776,
AMD A10-9620P,2540,2658,
AMD A10-9630P,2909,2490,
AMD A10-9700,3546,2223,118.24
AMD A10-9700E,3229,2350,36.25
AMD A12-9700P,2437,2714,
AMD A12-9720P,2661,2593,
AMD A12-9730P,2980,2457,
AMD A12-9800,3597,2209,37.86
AMD A12-9800E,3471,2243,5.18
AMD A4 Micro-6400T APU,1082,3670,
AMD A4 PRO-3340B,1645,3208,
AMD A4 PRO-7300B APU,1458,3340,
AMD A4 PRO-7350B,1544,3285,
AMD A4-1200 APU,369,4470,
AMD A4-1250 APU,406,4423,
AMD A4-1350 APU,911,3846,
AMD A4-3300 APU,942,3820,16.65
AMD A4-3300M APU,714,4073,23.81
AMD A4-3305M APU,758,4021,36.44
AMD A4-3310MX APU,782,3994,
AMD A4-3320M APU,668,4137,17.12
AMD A4-3330MX APU,756,4027,
AMD A4-3400 APU,1086,3662,13.58
AMD A4-3420 APU,1054,3702,7.75
AMD A4-4000 APU,1145,3611,57.4
AMD A4-4020 APU,1268,3486,12.04
AMD A4-4300M APU,1000,3761,33.48
AMD A4-4355M APU,806,3965,
AMD A4-5000 APU,1297,3460,
AMD A4-5050 APU,1328,3435,
AMD A4-5100 APU,1346,3425,
AMD A4-5150M APU,765,4013,
AMD A4-5300 APU,1365,3416,50.63
AMD A4-5300B APU,1243,3509,47.89
AMD A4-6210 APU,1501,3320,
AMD A4-6250J APU,1671,3189,
AMD A4-6300 APU,1426,3368,33.93
AMD A4-6300B APU,1328,3436,47.51
AMD A4-6320 APU,1530,3293,21.86
AMD A4-7210 APU,1656,3200,
AMD A4-7300 APU,1529,3294,82.79
AMD A4-9120,1224,3529,
AMD A4-9120C,852,3908,
AMD A4-9120e,851,3909,
AMD A4-9125,1210,3545,
AMD A6 Micro-6500T APU,1146,3609,
AMD A6 PRO-7050B APU,1009,3754,
AMD A6 PRO-7400B,1696,3175,
AMD A6-1450 APU,1072,3682,
AMD A6-3400M APU,1191,3560,48.69
AMD A6-3410MX APU,1263,3491,316.44
AMD A6-3420M APU,1294,3464,
AMD A6-3430MX APU,1448,3350,
AMD A6-3500 APU,1420,3377,23.58
AMD A6-3600 APU,1697,3174,68.02
AMD A6-3620 APU,1835,3087,81.6
AMD A6-3650 APU,2070,2938,16.17
AMD A6-3670 APU,2171,2879,39.52
AMD A6-4400M APU,1010,3748,40.49
AMD A6-4455M APU,793,3980,
AMD A6-5200 APU,1665,3191,
AMD A6-5345M APU,1122,3628,
AMD A6-5350M APU,1232,3519,37.18
AMD A6-5357M APU,1165,3586,
AMD A6-5400B APU,1459,3338,50.43
AMD A6-5400K APU,1273,3479,24.47
AMD A6-6310 APU,1677,3185,
AMD A6-6400B APU,1616,3222,
AMD A6-6400K APU,1501,3318,20.02
AMD A6-6420B APU,1550,3276,
AMD A6-6420K APU,1576,3256,10.51
AMD A6-7000,1010,3751,
AMD A6-7310 APU,1724,3157,
AMD A6-7400K APU,1634,3213,19.17
AMD A6-7470K,1799,3113,20.22
AMD A6-7480,1836,3085,52.72
AMD A6-8500P,1445,3355,
AMD A6-8550,1604,3232,
AMD A6-9200,1116,3634,
AMD A6-9210,1230,3521,
AMD A6-9220,1280,3471,
AMD A6-9220C,1053,3705,
AMD A6-9220e,977,3787,
AMD A6-9225,1330,3433,
AMD A6-9230,1303,3455,
AMD A6-9400,2717,2565,
AMD A6-9500,1869,3061,46.73
AMD A6-9500E,1756,3146,30.61
AMD A8 PRO-7150B APU,1528,3295,
AMD A8 PRO-7600B APU,2962,2466,
AMD A8-3500M APU,1400,3391,23.36
AMD A8-3510MX APU,1631,3215,21.15
AMD A8-3520M APU,1448,3351,26.33
AMD A8-3530MX APU,1608,3228,
AMD A8-3550MX APU,1687,3180,
AMD A8-3800 APU,2049,2947,18.63
AMD A8-3820 APU,2174,2877,48.36
AMD A8-3850 APU,2374,2757,34.9
AMD A8-3870K APU,2319,2786,34.08
AMD A8-4500M APU,1687,3181,35.13
AMD A8-4555M APU,1331,3431,
AMD A8-5500 APU,2612,2619,44.31
AMD A8-5500B APU,2612,2618,53.27
AMD A8-5545M APU,1567,3263,
AMD A8-5550M APU,1862,3066,
AMD A8-5557M APU,1801,3112,
AMD A8-5600K APU,2857,2514,41.4
AMD A8-6410 APU,1771,3137,
AMD A8-6500 APU,2822,2529,101.49
AMD A8-6500B APU,2886,2500,57.78
AMD A8-6500T APU,1929,3020,32.18
AMD A8-6600K APU,3007,2442,34.17
AMD A8-7050,1152,3605,
AMD A8-7100 APU,1638,3210,
AMD A8-7200P,2154,2890,
AMD A8-7410 APU,1813,3101,
AMD A8-7500,3422,2264,
AMD A8-7600 APU,3219,2356,107.34
AMD A8-7650K,3129,2391,82.35
AMD A8-7670K,3192,2368,12.84
AMD A8-7680,3544,2225,96.5
AMD A8-7690K,2157,2886,
AMD A8-8600P,2240,2836,
AMD A8-8650,2996,2446,
AMD A8-9600,3307,2320,29.4
AMD A9-9400,1329,3434,
AMD A9-9410,1523,3302,
AMD A9-9420,1498,3324,
AMD A9-9420e,1107,3639,
AMD A9-9425,1510,3313,
AMD A9-9430,1658,3196,
AMD A9-9820,3938,2104,
AMD Athlon 1500+,191,4727,
AMD Athlon 1640B,412,4414,8.23
AMD Athlon 200GE,4114,2061,33.2
AMD Athlon 220GE,4424,1985,36.23
AMD Athlon 240GE,4534,1956,46.14
AMD Athlon 2650e,274,4603,14.43
AMD Athlon 2800+,291,4577,2.65
AMD Athlon 2850e,333,4522,
AMD Athlon 3000G,4484,1970,49.82
AMD Athlon 300GE,4273,2022,
AMD Athlon 300U,3887,2121,
AMD Athlon 320GE,4399,1993,
AMD Athlon 5000 Dual-Core,872,3888,10.91
